id,中文名,英文名,拉丁学名,分类,子分类,物种,高度,盆器,MOQ,简短描述,详细描述,精选,排序,图片文件夹
tianerong,天鹅绒紫薇,Velvet Crape Myrtle,Lagerstroemia indica,ornamental,,紫薇,60-120cm,紫砂盆,100株,天鹅绒紫薇，花色独特呈天鹅绒质感,天鹅绒紫薇是紫薇的精品变种，花瓣呈现独特的深红绒面质感，花期长达三个月，是高端园林景观和庭院美化的优选品种。,是,7,紫薇/天鹅绒紫薇
chuanhong,川红紫薇,Sichuan Red Crape Myrtle,Lagerstroemia indica,ornamental,,紫薇,80-150cm,紫砂盆,100株,川红紫薇，花色鲜红艳丽，造型丰富,川红紫薇主产四川，花色为鲜艳的红色，造型多样（中国结、花瓶、葫芦、罗马柱等），适合高端庭院和园林景观造型。,是,8,紫薇/川红紫薇
ziye,紫叶紫薇,Purple Leaf Crape Myrtle,Lagerstroemia indica,ornamental,,紫薇,80-120cm,营养杯,100株,紫叶紫薇，叶色紫红观叶观花两用,紫叶紫薇叶片常年紫红色，花朵粉红色，是观叶观花两用的珍稀品种，适合色叶造景和庭院点缀。,否,9,紫薇/紫叶紫薇
beimeihaitang,北美海棠,North American Begonia,Malus spectabilis,ornamental,,北美海棠,100-200cm,无,50株,北美海棠，花姿优美观赏价值高,北美海棠原产北美，春季繁花似锦，秋季红果累累，是优秀的观花观果树种，适合庭院、行道和公园种植。,是,10,北美海棠
dujuan,杜鹃,Azalea,Rhododendron simsii,ornamental,,杜鹃,30-80cm,紫砂盆,50盆,杜鹃花，花色艳丽造型多样,杜鹃花是中国十大名花之一，花色丰富（红、粉、白、紫），造型多样（花瓶、云片、葫芦、孔雀等），是制作盆景和庭院观赏的名贵树种。,是,11,观赏苗木/造型树/杜鹃
honghuajimu,红花檵木,Red-flowered Loropetalum,Loropetalum chinense var. rubrum,ornamental,,红花檵木,30-100cm,造型盆,100株,红花檵木，叶红花红观赏期长,红花檵木为金缕梅科檵木属常绿灌木，叶片紫红色，花朵红色艳丽，造型丰富（花瓶、球、柱等），适合庭院和高端景观造型。,是,12,红花檵木
luohansong,罗汉松,Buddhist Pine,Podocarpus macrophyllus,ornamental,,罗汉松,40-120cm,紫砂盆,30盆,罗汉松，岭南盆景代表树种,罗汉松是罗汉松科常绿乔木，姿态古朴优雅，是岭南派盆景的代表树种，常用于庭院、高级会所和礼品。,是,13,观赏苗木/造型树/罗汉松
yinxing,银杏,Ginkgo,Ginkgo biloba,ornamental,,银杏,100-300cm,无,50株,银杏，秋叶金黄景观效果极佳,银杏是地球上最古老的树种之一，树形雄伟，秋叶金黄灿烂，是世界著名的园林观赏树种，适合行道树和景观大道。,是,1,银杏
zhongguobashu,中国柏树,Chinese Juniper,Juniperus chinensis,potted,premium,中国柏树,30-100cm,紫砂盆,30盆,中国柏树，树姿苍劲盆景常用,中国柏树为柏科常绿乔木，树形古朴苍劲，姿态优雅，是中国传统盆景和庭院造景的常用树种，适合各类造型盆景制作。,否,20,盆栽/中国柏树
zhongguoyabai,中国崖柏,Cliff Juniper,Juniperus chinensis,potted,premium,中国崖柏,30-100cm,紫砂盆,30盆,中国崖柏，悬崖式造型经典,中国崖柏为山采崖柏素材，常见悬崖式、临水式造型，树皮天然舍利，姿态古朴苍劲，是日本和中国盆景界的高端素材。,否,21,盆栽/中国崖柏
